,tu,đinh_nghia,điểm
2524,bồ hóng,"bụi đen do khói đóng lại thành mảng bám vào tường, nóc bếp",-0.4
2525,mãnh hổ,"hổ dữ; ví người có hành động dũng cảm, sức khoẻ phi thường",0.6
2526,khăn quàng,"khăn dệt bằng sợi to, quấn cổ hoặc choàng đầu để khỏi lạnh",0.0
2527,tay co,thanh gỗ đóng ngang miệng thùng để buộc dây thừng vào gánh,0.0
2528,nia,"đồ đan bằng tre, hình tròn bẹt, có cạp, dùng để phơi, đựng",0.0
2529,tiểu đồng,"đứa con trai nhỏ theo hầu người quyền quý, thời phong kiến",0.0
2530,dũng sĩ,danh hiệu vinh dự cho người lập nhiều thành tích chiến đấu,0.8
2531,bị,"chịu sự tác động của việc không hay, không có lợi với mình",-0.7
2532,tôn,"sắt hoặc thép dát thành tấm mỏng, có tráng mạ kẽm ở bề mặt",0.0
2533,lõm bõm,tiếng lội nước hoặc tiếng vật nhỏ rơi không đều xuống nước,0.0
2534,hương nhu,"cây cùng họ bạc hà, lá có lông, dùng làm thuốc hay gội đầu",0.0
2535,dép,"đồ mang ở bàn chân, bằng da hoặc cao-su, không có quai hậu",0.0
2536,sâu răng,"bệnh làm huỷ các phần trong men răng, và làm thủng tới tuỷ",-0.8
2537,phúc,"điều mang lại những sự tốt lành về mặt tinh thần, tình cảm",0.9
2538,ma-két,mô hình của vật sẽ chế tạo (phiên âm từ tiếng Anhmaquette),0.0
2539,di,"dùng bàn tay, bàn chân hay các đầu ngón tay chà đi chà lại",0.0
2540,liên chi,(từ cũ) những người có quan hệ họ hàng thuộc cùng dòng máu,0.0
2541,họ,tổ chức vay lẫn nhau để tạo điều kiện giải quyết công việc,0.0
2542,hò,đường mép trên thân áo dài từ giữa cổ đến nách áo bên phải,0.0
2543,nghể,"loại cây nhỏ, thân có đốt rỗng, lá có bẹ ôm thân, mùi hăng",0.0
2544,phát quang,(vật lý) phát ra ánh sáng mà không cần được cung cấp nhiệt,0.0
2545,phước,"những phụ nữ tu trong đạo Công giáo, chuyên làm việc thiện",0.7
2546,cổ điển,"tác giả, tác phẩm văn học, được coi là mẫu mực của thời cổ",0.4
2547,bìa,"tờ giấy dày hoặc giấy bồi, đóng ngoài quyển sách, quyển vở",0.0
2548,tốc độ,đại lượng đo bằng khoảng đường đi được trong một thời gian,0.0
2549,tộc biểu,"người thay mặt cho một họ trong hương hội, thời Pháp thuộc",0.0
2550,quá độ,quá trình chuyển tiếp từ giai đoạn này sang giai đoạn khác,0.0
2551,tú tài,"học vị của người tốt nghiệp bậc trung học, thời Pháp thuộc",0.3
2552,giấm ghém,làm cỗ đơn giản bằng thịt lợn luộc ăn với giấm và rau ghém,0.0
2553,lều,"khung tre căng chiếu đặt trên cái chõng thí sinh, ngày xưa",0.0
2554,bán kết,vòng đấu để chọn vận động viên hoặc đội vào trận chung kết,0.0
2555,ma-dút,dầu nhớt do chưng cất dầu thô mà có (từ tiếng Pháp mazout),0.0
2556,dại,"bệnh gây tổn thương thần kinh của chó và mèo, gây nên chết",-0.9
2557,phong vũ biểu,dụng cụ đo áp suất của khí quyển và dự đoán được thời tiết,0.0
2558,quản gia,người giúp chủ trông coi việc nhà cho một gia đình quý tộc,0.0
2559,Tiên sư,(từ cũ) người lập ra một trường phái hoặc dạy lại một nghề,0.5
2560,cho biết,một số hay một lượng đã cho trong đầu bài (trong toán học),0.0
2561,tốt đen,"(từ cũ) người không có địa vị, thường bị kẻ khác sai khiến",-0.7
2562,luận án,công trình nghiên cứu để được công nhận một học vị bậc cao,0.3
2563,thay,"đảm nhiệm chức năng trước đây là của người khác, việc khác",0.0
2564,phù phép,"thuật sai khiến quỷ thần làm những điều kì lạ, theo mê tín",-0.4
2565,kính thiên văn,"dụng cụ quang học dùng để quan sát, chụp ảnh các thiên thể",0.0
2566,ganh tị,so tính thiệt hơn và thấy khó chịu khi người khác hơn mình,-0.9
2567,hành quân,di chuyển đội hình đến một địa điểm với mục đích nhất định,0.0
2568,kiểm sát,theo dõi và thực thi việc chấp hành luật pháp của nhà nước,0.0
2569,tỉa,sửa lại từng chi tiết chưa đạt của một tác phẩm nghệ thuật,0.0
2570,kiến trúc,xây dựng các công trình theo kiểu mẫu mang tính nghệ thuật,0.4
2571,tài năng,khả năng tự nhiên hoặc do qua thời gian tập luyện mà thành,0.8
2572,kinh viện,"khuynh hướng triết học dựa trên trừu tượng, xa rời thực tế",-0.3
2573,chủ tịch,người đứng đầu nhà nước trong một số nước cộng hoà dân chủ,0.0
2574,rượu lễ,"rượu nho nguyên chất, dùng trong các buổi lễ của Công giáo",0.0
2575,sự cố,hiện tượng bất ngờ xảy ra trong quá trình hoạt động nào đó,-0.3
2576,bài học,bài học sinh cần nhớ và biết áp dụng sau khi thầy đã giảng,0.0
2577,cáng,"võng mắc vào đòn, có mui che, khi xưa dùng để khiêng người",0.0
2578,sách dẫn,"bảng ghi thứ tự chữ cái, tên các tác giả, những đoạn trích",0.0
2579,thiếu sinh quân,thiếu niên học ở trường quân sự để đào tạo thành quân nhân,0.0
2580,khèn,nhạc cụ bằng tre trúc ghép lại của một số dân tộc miền núi,0.0
2581,sơ kết,nhìn lại phần việc đã làm để rút ra những kết luận ban đầu,0.0
2582,giấu,"cất vào nơi kín đáo để người khác không thấy, không tìm ra",0.0
2583,phụ,góc hay cung cộng với góc hay một cung khác thì thành 90độ,0.0
2584,băng,"miếng vải đen quấn quanh mũ, cánh tay áo của người để tang",-0.6
2585,lương,"hàng dệt mỏng, bằng tơ dùng may áo dài đàn ông, thời trước",0.0
2586,ngả,để cho men hoặc mốc ngấm vào biến thành chất có vị ăn được,0.0
2587,sa mạc,"vùng đất cát rộng lớn có khí hậu rất khô, không có cây cối",0.0
2588,chào,tỏ lời nói hay cử chỉ kính trọng khi gặp nhau hoặc từ biệt,0.5
2589,cấy,nuôi vi sinh vật trong môi trường dinh dưỡng để nghiên cứu,0.0
2590,bạt,bài đặt cuối cuốn sách để nói thêm về ý nghĩa của nội dung,0.0
2591,nuối,"người sắp chết ráng sức chờ người thân, chưa nhắm mắt được",-0.7
2592,nuông chiều,"chiều theo một cách quá đáng cả những điều vô lí, sai trái",-0.6
2593,thái ất,"căn cứ vào các việc xảy ra mà đoán tương lai, phép bói xưa",0.0
2594,hà,"động vật thân mềm, hình cuống dài, đục thủng gỗ trong nước",-0.5
2595,giấu tiếng,không cho người ta biết vai trò của mình trong một việc gì,0.0
2596,giáo vụ,"bộ phận phụ trách việc giảng dạy, học tập trong một trường",0.0
2597,nho sĩ,người thuộc tầng lớp trí thức trong xã hội thời phong kiến,0.0
2598,móng,"lớp vật liệu dưới cùng, để đỡ sức nặng công trình xây dựng",0.0
2599,nghị gật,(từ cũ) đại biểu dân cử bầu ra để làm tay sai cho thực dân,-0.9
2600,cù,"gí nhẹ đầu ngón tay vào cổ, nách hay cạnh sườn để gây cười",0.3
2601,thục địa,"vị thuốc đông y, chế biến từ củ của cây địa hoàng, màu đen",0.0
2602,cơ,"bộ phận của cơ thể, co dãn để làm các cơ quan khác cử động",0.0
2603,cựa,mấu sừng mọc ở phía sau cẳng gà trống hay một số loài chim,0.0
2604,phòng thủ,giữ vững vị trí để đối phó với sức tấn công của đối phương,0.0
2605,thuyền trưởng,người chỉ huy cao nhất của một thuyền lớn hay một tàu thuỷ,0.0
2606,trâu ngựa,"thân phận vất vả, đoạ đày của người làm tôi đòi thời trước",-0.8
2607,thái thú,"chức quan cai quản một quận, thời nhà Hán Trung Quốc đô hộ",0.0
2608,sải,"đồ đan bằng tre nứa, trát sơn mặt ngoài, để đựng chất lỏng",0.0
2609,sung huyết,(y học) chứng ứ máu bất thường ở bộ phận nào đó của cơ thể,-0.3
2610,lã chã,"(nước mắt, mồ hôi) rơi, chảy thành giọt nhiều và không dứt",-0.3
2611,ném đĩa,"môn điền kinh, tập ném một vật hình tròn, dẹt, có vành sắt",0.0
2612,bỏ phiếu,sự lựa chọn của mình để bầu ra người mình cho là xứng đáng,0.0
2613,xuất thân,"Sinh ra, lớn lên trong một gia đình, một hoàn cảnh nào đó.",0.0
2614,nhện,"động vật chân đốt, có tám chân, thường chăng tơ để bắt mồi",0.0
2615,ngái,"cây cùng họ với sung, lá có lông cứng, dùng để ủ mốc tương",0.0
2616,kênh,đường thông tin liên lạc chiếm một khoảng tần số nhất định,0.0
2617,đề,"lối chơi cờ bạc, ai đoán trúng thì được, đoán sai thì thua",-0.4
2618,ngựa,"dụng cụ thể dục, hơi giống hình con ngựa, dùng để tập nhảy",0.0
2619,phèn,(hoá học) tên chung các loại muối kép gồm hai muối sun-fát,0.0
2620,ngợp,có cảm giác nhỏ bé trước cái quá rộng lớn trong không gian,-0.2
2621,đèn xếp,"đèn giấy xếp thành hình tròn hoặc hình trụ, trong thắp nến",0.0
2622,bơi ngửa,"bơi trong tư thế thân nằm trên mặt nước, mặt ngửa lên trên",0.0
2623,lục bát,thể văn vần mỗi cặp gồm một câu sáu chữ và một câu tám chữ,0.0
2624,lang ben,"bệnh ngoài da do một loại nấm gây ra, không đau không ngứa",-0.3
2625,làng,"khối dân cư có đời sống riêng nhất định, trước kia là thôn",0.0
2626,sơn dầu,"hỗn hợp nhão, chế từ màu bột và dầu ép, dùng trong hội hoạ",0.0
2627,sơn pháo,"pháo hạng nhẹ, tiện di chuyển, sử dụng ở địa hình rừng núi",-0.4
2628,su hào,"cây cùng họ với cải, thân phình thành củ tròn, làm thức ăn",0.0
2629,dưỡng,"tấm mẫu mỏng, ướm khít với sản phẩm để kiểm tra kích thước",0.0
2630,thiển cận,"nông cạn, chỉ thấy cái trước mắt, không nhìn xa trông rộng",-0.7
2631,tè he,"ngồi bệt xuống, hai chân duỗi thẳng và dạng ra (hàm ý chê)",-0.5
2632,giả vờ,làm ra vẻ như thật để làm cho người ta tưởng thật như thế,-0.4
2633,yếu tố,"Một trong những bộ phận cấu thành một sự vật, hiện tượng.",0.0
2634,sa ngã,"thoái hoá đạo đức, nhân phẩm trước sự cám dỗ của vật chất",-0.8
2635,niên hiệu,tên hiệu do vua đặt ra để tính năm trong thời gian trị vì,0.0
2636,a dua,"hùa theo, bắt chước người khác một cách dại dột, mù quáng",-0.7
2637,muồng,"cây thuộc họ đậu, được trồng làm phân xanh, hạt làm thuốc",0.0
2638,mướp,"cây thân leo, quả dài, non dùng làm thức ăn, già thành xơ",0.0
2639,biểu,"dán tranh lên giấy mỏng, để tranh thẳng và hình vẽ nổi rõ",0.0
2640,thấm,hút một chất lỏng bằng một vật xốp hoặc qua một màng mỏng,0.0
2641,ghe hầu,"thuyền của quan lại, địa chủ ngày xưa, được trang trí đẹp",0.1
2642,nụ áo,"cây cùng họ cà, mọc hoang, quả khi chín có hình như nụ áo",0.0
2643,tổng hợp,(hoá học) điều chế hợp chất phức tạp từ các chất đơn giản,0.0
2644,lách cách,"tiếng đanh gọn, không đều của vật cứng, nhỏ chạm vào nhau",0.0
2645,chư hầu,"chúa phong kiến bị phụ thuộc, phải phục tùng một hoàng đế",0.0
2646,hoè,"cây thuộc họ đậu, hoa nhỏ màu vàng, nụ hoa dùng làm thuốc",0.0
2647,trăn,"rắn lớn, không có nọc độc, bắt và ăn cả những con mồi lớn",0.0
2648,vỉa,Lớp khoáng sản dài và hẹp nằm giữa nhiều lớp khoáng khác.,0.0
2649,mua chuộc,"dùng tiền tài, danh vọng dụ dỗ người khác làm theo ý mình",-0.8
2650,quy chế,"những điều định ra để mọi người, mọi ngành theo đó mà làm",0.0
2651,quốc vụ khanh,bộ trưởng ngoại giao hay bộ trưởng không bộ ở một số nước,0.0
2652,quan liêu,"nghiêng về mệnh lệnh, giấy tờ, xa rời thực tế, quần chúng",-0.7
2653,hương liệu,"chất thơm dùng làm nguyên liệu chế tạo mỹ phẩm, dược phẩm",0.0
2654,nguyên tắc,"điều cơ bản định ra, làm cơ sơ cho các mối quan hệ xã hội",0.0
2655,tạ,"dụng cụ thể thao, gồm hai khối kim loại lắp ở hai đầu đòn",0.0
2656,vệ sinh,"Những quy tắc phòng bệnh, giữ gìn và tăng cường sức khoẻ.",0.5
2657,khuôn phép,"những phép tắc cần giữ gìn trong quan hệ xã hội, gia đình",0.0
2658,khúc côn cầu,"môn thể thao đánh bằng gậy đưa bóng vào lưới, như bóng đá",0.0
2659,tham tri,(từ cũ) chức quan dưới chức thượng thư của triều đình Huế,0.0
2660,hô hấp,"hít o-xi vào phổi, thở khí các-bô-níc ra nhằm tạo sự sống",0.0
2661,vuông,Từ ghép sau danh từ để tạo thành tên đơn vị đo diện tích.,0.0
2662,trát,phủ kín hoặc phẳng rồi xoa một lớp dính và mịn lên bề mặt,0.0
2663,tôi luyện,"tạo cho tinh thần, ý chí trở nên kiên định, vững vàng hơn",0.7
2664,rau xà-lách,"rau cùng họ rau diếp, lá quăn hơn (tên tiếng Pháp salade)",0.0
2665,nhà mổ,"nhà ở bệnh viện, có bàn mổ để bác sỹ tiến hành phẫu thuật",0.0
2666,giấy bổi,"giấy làm bằng nguyên liệu thừa, dùng để lót hàng, bao gói",0.0
2667,cửa,"khoảng trống làm thành lối ra vào, có lắp bộ phận đóng mở",0.0
2668,vũ nữ,"Người phụ nữ làm nghề khiêu vũ trong vũ trường, sàn nhảy.",0.0
2669,lưỡng thê,"động vật có xương sống, có thể sống dưới nước và trên cạn",0.0
2670,nghĩa quân,lực lượng vũ trang được tổ chức đứng lên đánh kẻ xâm lăng,0.6
2671,hoành độ,số để xác định vị trí của một điểm trong mặt phẳng toạ độ,0.0
2672,kì,khoảng thời gian nhất định tương đối đều đặn của một việc,0.0
2673,thính,"bột làm bằng gạo hoặc ngô rang vàng, giã nhỏ, có mùi thơm",0.1
2674,không chê được,"rất tốt, hoàn hảo đến mức không thấy được khuyết điểm nào",0.9
2675,gieo,ném đồng tiền hoặc con xúc xắc để tính điểm hoặc đoán quẻ,0.0
2676,ké,"tên gọi loài cây nhỏ, quả có gai, dùng làm thuốc lợi tiểu",0.0
2677,tỉnh ngộ,"đột nhiên hiểu ra và nhận thấy cái đúng, cái sai của mình",0.7
2678,kháng nguyên,chất có khả năng kích thích cơ thể tạo ra những kháng thể,0.0
2679,phông,"khung cảnh cuối sân khấu, làm nền cho diễn viên biểu diễn",0.0
2680,phổi,cơ quan hô hấp hình túi ở người và động vật có xương sống,0.0
2681,nhiệt độ,(vật lý) đại lượng đặc trưng cho độ nóng lạnh của một vật,0.0
2682,ngôn ngữ,"cách thức, trình độ sử dụng ngôn ngữ mang tính chất riêng",0.0
2683,loa,(vật lý) dụng cụ biến các dao động điện thành dao động âm,0.0
2684,lổm ngổm,"bò theo những hướng khác nhau, không có trật tự, hàng lối",-0.3
2685,trả thù,gây tai hoạ cho người đã gây hại cho mình hoặc người thân,-0.9
2686,kinh nghiệm,"những điều hiểu biết có được do tiếp xúc, từng trải nhiều",0.4
2687,tam giác,(toán học) hình tạo nên bởi một đường gấp khúc có ba cạnh,0.0
2688,tham mưu,giúp người chỉ huy tổ chức thực hiện các kế hoạch quân sự,0.0
2689,kiện,nhờ cơ quan luật pháp xét xử người làm thiệt hại đến mình,-0.1
2690,trực hệ,"quan hệ họ hàng, người này sinh ra người kia kế tiếp nhau",0.0
2691,hoàng liên,"cây mọc ngầm dưới đất, thân rễ có vị đắng, dùng làm thuốc",0.0
2692,mì chính,"muối của một a-xít a-min, cho vào thức ăn để tăng vị ngọt",0.0
2693,mộng,gờ lắp khớp vào rãnh hay ổ của một bộ phận tương ứng khác,0.0
2694,ngày,khoảng thời gian từ khi mặt trời mọc đến lúc mặt trời lặn,0.0
2695,măng tây,"cây thuộc họ hành tỏi, thân ngầm, mầm non mềm ăn như măng",0.0
2696,ám chỉ,không nói thẳng mà nói bóng gió đến người nào hay việc gì,-0.2
2697,tiên đề,(toán học) mệnh đề được công nhận mà không cần chứng minh,0.0
2698,tiêm,"đồ dùng hình dùi, nhọn một đầu để cho thuốc phiện vào tẩu",-0.9
2699,ướp lạnh,Cho vào môi trường có nhiệt độ thấp để giữ cho khỏi hỏng.,0.0
2700,cối,"lượng hạt rời đựng trong cối cho một lần xay, giã, nghiền",0.0
2701,tựa,"bài viết ở đầu sách, trình bày và giới thiệu cuốn sách đó",0.0
2702,tứ tuyệt,"thể thơ có bốn câu ba vần, mỗi câu từ năm đến bảy âm tiết",0.0
2703,tẩu mã,điệu hát trong tuồng khi diễn viên làm động tác cưỡi ngựa,0.0
2704,lưu dụng,được giữ lại và cung cấp những điều kiện để làm việc tiếp,0.3
2705,máy hơi nước,"động cơ nhiệt, biến đổi năng lượng hơi nước thành cơ năng",0.0
2706,nước giải,"nước do thận bài tiết, thải ra ngoài bằng đường tiểu tiện",0.0
2707,lẵng đẵng,mất nhiều thời gian vào một công việc mà không có kết quả,-0.4
2708,tít,đầu đề hoặc câu hoàn chỉnh giới thiệu sơ nội dung bài báo,0.0
2709,lê,dùng sức của khuỷu tay và chân chuyển người sang chỗ khác,0.0
2710,chủ bút,người đứng đầu trong việc biên tập một tờ báo hay tạp chí,0.0
2711,ngọc bích,"đá có vân màu sặc sỡ, dùng làm đá trang trí, đồ trang sức",0.3
2712,ca kỹ,người phụ nữ sống bằng nghề hát xướng và mại dâm thời xưa,-0.6
2713,vỡ,Không còn nguyên khối do không chịu nổi tác động của lực.,-0.5
2714,rá,"đồ bằng nhôm hoặc đan bằng tre có nhiều lỗ nhỏ, để vo gạo",0.0
2715,cò,"chim chân cao, cổ dài, mỏ dài nhọn, sống gần nước bắt tép",0.0
2716,dệt,làm cho sợi kết vào nhau thành tấm bằng máy hoặc bằng tay,0.0
2717,ảnh,"hình của vật nhìn thấy qua một tấm gương, thấu kính, v.v.",0.0
2718,tang,(toán học) tỉ số của sin của một góc với cosin của góc ấy,0.0
2719,tam tam chế,hình thức biên chế ba đơn vị nhỏ thành một đơn vị lớn hơn,0.0
2720,cảnh sát,"người chuyên giữ gìn an ninh, chính trị và trật tự xã hội",0.2
2721,tri ngộ,giá trị của người nào đó ít ai biết đến và được coi trọng,0.6
2722,tứ quý,"bốn loại cây tiêu biểu cho bốn mùa: mai, thông, cúc, trúc",0.3
2723,lễ,"tổ chức long trọng nhằm đánh dấu một sự kiện, sự việc lớn",0.2
2724,đá bóng,cuộc thi thể thao mà hai bên đá quả bóng vào gôn của nhau,0.0
2725,nòng,tờ giấy đặt dưới một tờ giấy trắng để viết cho thẳng hàng,0.0
2726,tắc kè,"loài thằn lằn sống trên cây, kêu ""tắc kè"", dùng làm thuốc",0.0
2727,kiềng,"vòng bằng kim loại quý, phụ nữ và trẻ con thường đeo ở cổ",0.3
2728,mao dẫn,chất lỏng dẫn từ dưới lên trên theo những ống hết sức nhỏ,0.0
2729,ông tổ,người sinh ra một dòng họ hoặc người sáng tạo ra một nghề,0.2
2730,mạch lươn,"nhọt ở đầu trẻ con, ăn luồn thành những đường dài dưới da",-0.7
2731,thế năng,năng lượng dự trữ do vị trí tương đối hoặc cấu trúc mà có,0.0
2732,ngồi lê,"ngồi hết chỗ này đến chỗ khác, nói những chuyện không đâu",-0.4
2733,thế giới,toàn thể cộng đồng người có những đặc trưng về mặt nào đó,0.0
2734,hồng thập tự,tổ chức quốc tế chuyên cứu giúp nạn nhân của thiên tai...,0.8
2735,cháy,tham gia một phản ứng hoá học có toả ra nhiệt và ánh sáng,0.0
2736,khí tượng học,khoa học nghiên cứu các hiện tượng xảy ra trong khí quyển,0.0
2737,đất liền,"phần đất ở xa biển, nối liền nhau thành một vùng rộng lớn",0.0
2738,phát mại,chính quyền cho phép bán công khai tài sản đã bị tịch thu,-0.3
2739,phát chẩn,"cho tiền, gạo để giúp những người nghèo hoặc bị thiên tai",0.8
2740,trùng phương,(toán học) một phương trình có ẩn số chỉ ở bậc 2 và bậc 4,0.0
2741,mâm pháo,bộ phận để ngồi hoặc đứng của pháo thủ để điều khiển pháo,0.0
2742,dấu,"vật bằng gỗ, đồng có khắc chữ, đóng trên giấy tờ, văn bản",0.0
2743,đai,"nói nhiều lần một việc, để tỏ sự không bằng lòng của mình",-0.3
2744,hàu,"trai có vỏ xù xì, sống ven biển, vỏ bám vào đá, thành tàu",0.0
2745,tạp số,những số có bội số và ước số không thuộc hệ đếm thập phân,0.0
2746,xếp,"Đặt, chồng lên nhau theo đúng hàng lối, thứ tự nhất định.",0.0
2747,nón chóp,"nón xưa dùng cho đàn ông, có chóp bằng kim loại trên đỉnh",0.0
2748,còn,"quả cầu bằng vải để tung, ném làm trò chơi trong ngày hội",0.1
2749,trắc viễn,kính để đo khoảng cách từ nơi quan sát đến vị trí của vật,0.0
2750,sắc,"tên gọi một thanh điệu của tiếng Việt, kí hiệu bằng "" ' """,0.0
2751,hầm,"khoảng trống đào trong lòng đất, làm nơi ẩn nấp, cất giấu",-0.1
2752,in tay,ấn đầu ngón tay có bôi mực lên tờ giấy để lấy nét hoa tay,0.0
2753,nỏ,"vũ khí hình cái cung, có cán cầm, căng bật dây để bắn tên",-0.2
2754,sắn dây,"cây leo cùng họ đậu, rễ củ dài chứa nhiều tinh bột, để ăn",0.0
2755,lao công,"người làm việc chân tay đơn giản trong cơ quan, xí nghiệp",0.0
2756,mợ,"từ gọi người đàn bà trẻ có chồng là công chức, thời trước",0.0
2757,răn,khuyên bảo điều hơn lẽ phải để biết mà tránh làm việc xấu,0.4
2758,giảm,"làm cho hoặc trở nên ít đi, bớt đi về số lượng hay mức độ",0.0
2759,rầm,"thanh vật liệu cứng, đặt ngang để đỡ các bộ phận bên trên",0.0
2760,rắn hổ mang,"rắn độc, đầu hình tam giác, hàm dưới bạnh ra như cái mang",-0.6
2761,doi,phần biển có mực nước nông hơn so với các vùng xung quanh,0.0
2762,hợp âm,âm hưởng có độ cao khác nhau cùng phát ra một lúc tạo nên,0.0
2763,tin đồn,tin được truyền miệng và không có gì bảo đảm là chính xác,-0.5
2764,tiểu luận,"bài nghiên cứu bước đầu về một vấn đề khoa học, chính trị",0.0
2765,mày,từ để gọi ngôi thứ hai hoặc gọi thân mật người ngang hàng,0.0
2766,ưỡn ẹo,"Mềm mại, duyên dáng nhưng thiếu tự nhiên, không đứng đắn.",-0.6
2767,nghi môn,"diềm thêu treo ở cửa chính hoặc trước bàn thờ, thời trước",0.0
2768,nòi,"nhóm động vật thuộc một loài, có đặc tính di truyền chung",0.0
2769,chặt,làm đứt ngang bằng những vật có lưỡi sắt giáng mạnh xuống,-0.2
2770,bấm,đặt ngón tay vào các đốt những ngón tay khác để tính toán,0.0
2771,xước,"Loài cỏ thuộc họ rau giền, hoa có gai, rễ dùng làm thuốc.",0.0
2772,đàn áp,"chèn ép hoạt động bằng những quyền hành bất công, tàn bạo",-0.9
2773,người nhái,người có trang bị kĩ thuật lặn để hoạt động lâu dưới nước,0.0
2774,giả hiệu,"chỉ trên danh nghĩa, để đánh lừa chứ thực chất không phải",-0.7
2775,âm nhạc,nghệ thuật dùng âm thanh để diễn đạt tư tưởng và tình cảm,0.7
2776,sâm cầm,"chim sống ở nước, trông giống con cuốc, thịt thơm và ngon",0.2
2777,tẻ,từ gọi để phân loại một vài thứ thực phẩm không được ngon,-0.4
2778,trước bạ,"đăng ký quyền sở hữu tài sản, theo quy định của pháp luật",0.0
2779,cú,"chim ăn thịt, kiếm mồi ban đêm, có mắt lớn phía trước mặt",0.0
2780,trúng thực,hệ tiêu hoá của cơ thể rối loạn do ăn phải thức ăn có độc,-0.7
2781,tiêu khiển,"làm thoải mái tinh thần bằng những thú vui nhỏ, nhẹ nhàng",0.6
2782,pháo cối,thứ pháo đốt chơi gồm một tràng pháo tiểu có xen pháo đại,0.2
2783,lưới,"đồ bằng sợi đan căng ở giữa sân bóng chuyền, quần vợt,...",0.0
2784,bấn,khó khăn do thiếu người hoặc thiếu thì giờ để làm việc gì,-0.4
2785,quay,"đồ chơi bằng gỗ hay sừng, khi chơi thì đánh cho quay tít",0.0
2786,thủ mưu,người lập ra mưu kế để thực hiện một hành động phạm pháp,-0.8
2787,mẹ già,"người vợ cả, trong quan hệ với con người vợ lẽ của chồng",0.0
2788,quàn,đặt tạm linh cữu tại một nơi để viếng trước khi mai táng,-0.1
2789,thuốc cao,"thuốc đông y quyện thành chất quánh, thường bôi ngoài da",0.1
2790,lợn gạo,"lợn bị bệnh sán, thịt có lốm đốm trắng như những hạt gạo",-0.6
2791,quần đảo,tập hợp nhiều đảo ở gần nhau trong một khu vực nhất định,0.0
2792,vung,"Giơ lên và làm động tác rất nhanh, hướng tới phía trước.",0.0
2793,ngao,"lượng thuốc phiện chứa trong một chiếc vỏ đó, thời trước",-0.8
2794,nhân luân,"đạo đức giữa con người với nhau, theo quan niệm nho giáo",0.7
2795,biết,nhận rõ thực chất hoặc giá trị để được đối xử thích đáng,0.4
2796,múi,"phần góc của mảnh vải, chăn,... hoặc đầu mối của sợi dây",0.0
2797,bắt bí,lợi dụng lúc người khác khó khăn để đòi điều kiện này nọ,-0.8
2798,mình,"phần cơ thể người, động vật không kể đầu, đuôi, tay chân",0.0
2799,tế độ,"cứu vớt chúng sinh khỏi bể khổ, theo thuyết của đạo Phật",0.9
2800,thả,"cho vào môi trường thích hợp để dễ hoạt động, phát triển",0.3
2801,gián quan,"quan giữ việc khuyên ngăn, can gián vua, thời phong kiến",0.1
2802,ngư lôi,vũ khí dùng dưới mặt nước để đánh phá tàu chiến của địch,-0.7
2803,chiên,"đồ dệt bằng lông thú hay bằng xơ bông, dùng làm chăn nệm",0.0
2804,dành dành,"cây nhỏ, hoa trắng thơm, quả dùng để nhuộm hay làm thuốc",0.4
2805,bán buôn,bán với số lượng lớn cho người kinh doanh bán lẻ; bán sỉ,0.0
2806,hệ thống,"tập hợp nhiều yếu tố, chức năng làm thành thể thống nhất",0.0
2807,thanh toán,"giải quyết cho xong, chấm dứt cái còn tồn tại, vướng mắc",0.4
2808,phiên dịch,dịch chuyển ý từ một ngôn ngữ này sang một ngôn ngữ khác,0.0
2809,cao nguyên,vùng đất rộng và cao có bề mặt bằng phẳng hoặc lượn sóng,0.0
2810,hào,"đường đào rộng và sâu để đi lại, vận chuyển được an toàn",0.1
2811,tứ khoái,"bốn thứ vui vật chất: ăn, ngủ, đại tiểu tiện và tình dục",0.6
2812,sâu,"ấu trùng của sâu bọ, có hại trong môi trường nông nghiệp",-0.6
2813,giáo khoa,(kế hợp han chế) thuộc về những môn dạy học ở trường học,0.2
2814,diệt chủng,"giết hàng loạt có phương pháp, làm cho mất hẳn giống nòi",-0.9
2815,trực tâm,(toán học) giao điểm của ba đường cao trong một tam giác,0.0
2816,trắc lượng,xác định kích thước của diện tích dùng vào việc canh tác,0.0
2817,bản sao,"bản được chép hay in lại từ văn bản chính, có chứng thực",0.0
2818,tâm can,"tim, gan biểu tượng những tình cảm sâu kín của con người",0.0
2819,phát tán,các bộ phận sinh sản của sinh vật rải rộng ra xung quanh,0.0
2820,khẩu hiệu,"câu có nội dung ngắn gọn, đưa ra để động viên quần chúng",0.3
2821,căn cứ,nơi làm chỗ dựa cho các hoạt động chính trị hoặc quân sự,0.0
2822,nòng nọc,"ếch nhái còn non, có đuôi, thở bằng mang, sống dưới nước",0.0
2823,dấu thánh giá,dấu người theo đạo ki-tô đặt bàn tay lên trán và hai vai,0.0
2824,dân luật,ngành luật có nhiệm vụ điều chỉnh về mối quan hệ tài sản,0.0
2825,dân sự,"việc thuộc quyền tài sản, hôn nhân,..., do toà án xét xử",0.0
2826,lễ nghĩa,những phép tắc cư xử sao cho phải đạo người trên kẻ dưới,0.4
2827,phút,"đơn vị đo góc phẳng, góc quay, bằng một phần sáu mươi độ",0.0
2828,bệ,"xây hoặc đắp bằng gạch, đá cho cao để làm nơi đặt vật gì",0.0
2829,thụt,dẫn nước hoặc thuốc vào cơ thể qua hậu môn hoặc cửa mình,0.0
