tu,dinh_nghia
bục,"giường đóng kiểu hình hộp, vừa để nằm vừa để đồ đạc bên dưới"
sản,phần thuế bằng sản phẩm mà từng hộ dân phải nộp cho nhà nước
ruồi,"bọ có cánh, có vòi hút, mang vi trùng truyền bệnh đường ruột"
riềng,"cây cùng họ gừng, thân ngầm hình củ, vị cay, dùng làm gia vị"
binh chủng,"từng loại tổ chức quân đội, có chức năng, nhiệm vụ khác nhau"
quạch,"cây cùng họ cà phê, vỏ cây đắng, rễ dùng ăn trầu kèm với cau"
quy hoạch,tính một cách có hệ thống cho công việc đạt kết quả tốt nhất
dịch tả,"bệnh dễ lây lan, làm cơ thể mất nước và hạ nhiệt nhanh chóng"
móc,"cây gần với đùng đình, lá dài, bẹ có nhiều sợi dùng khâu nón"
luyện tinh,lấy ra một chất ở trạng thái nguyên chất bằng cách chưng lại
án sát,"chức quan có nhiệm vụ xử án trong một tỉnh, thời phong kiến"
quân khu,"phân chia theo từng khu vực chiến lược, thời kỳ chiến tranh"
quảng trường,"khu đất rộng trong thành phố, để họp mít-tinh hay diễu binh"
mẹ kế,người phụ nữ trong quan hệ với con người vợ trước của chồng
quấy rầy,làm phiền người khác bằng sự có mặt không đúng lúc của mình
số bị nhân,(toán học) số được đem nhân với một số khác để được tích số
chị,từ người phụ nữ xưng với em mình hoặc với người ít tuổi hơn
mẹo,"cách làm khôn ngoan, có tính toán trong hoàn cảnh nhất định"
giao kết,"cam kết, giao hẹn thực hiện làm đúng những gì đã thoả thuận"
súng cối,"súng lớn, nòng có thành trong nhẵn, bắn theo đường cầu vồng"
mế,mẹ (cách gọi của một số dân tộc thiểu số miền Bắc Việt Nam)
nhà táng,"(từ cũ) nhà bằng giấy hoặc vải, úp trên quan tài khi đưa ma"
phụ tùng,"các bộ phận của máy, có thể thay thế được khi hỏng hoặc mòn"
xanh,"Dụng cụ xào nấu thức ăn, bằng đồng thành cứng, có hai quai."
xấu hổ,"Cây cỏ mọc hoang, thân có gai, lá kép xếp lại khi đụng đến."
giảng thuật,"vừa giảng vừa mô tả, kể chuyện, (một phương pháp giảng dạy)"
phúng viếng,đem đồ lễ đến nhà để tỏ lòng thương tiếc đối với người chết
cơ quan,nơi làm việc thường xuyên của bộ máy nhà nước hoặc đoàn thể
xa lộ,"Đường lớn, dành riêng cho các loại ôtô chạy với tốc độ cao."
chế độ,toàn thể những quy định cần tuân theo trong một việc nào đó
tổ chức,"sắp xếp, làm cho thành một chỉnh thể, một cơ cấu thống nhất"
phú,"thể văn vần không hạn định số câu, chia làm hai vế đối nhau"
goòng,"xe nhỏ có bốn bánh sắt, dùng ở công trường, nhà máy, hầm mỏ"
gỗ,"phần rắn của thân cây, dùng làm vật liệu xây dựng, làm giấy"
me tây,"người đàn bà Việt Nam lấy chồng người Pháp, thời Pháp thuộc"
sự tích,chuyện từ thời xa xưa còn được truyền lại cho những đời sau
lương tri,"khả năng nhận biết điều phải trái, đúng sai trong cuộc sống"
công xã,hình thức tổ chức kinh tế của xã hội nguyên thuỷ loài người
sinh thái học,khoa học nghiên cứu về quan hệ giữa sinh vật với môi trường
bưu chính,"ngành bưu điện, đảm nhiệm việc chuyển thư từ, kiện hàng,..."
rê,làm sạch thóc bằng cách cho rơi từ trên cao xuống trước gió
công xưởng,"tổ chức sản xuất cơ bản, hoạt động dựa vào hệ thống máy móc"
mẻ,"số lượng những vật cùng loại ra cùng một lần, thành một đợt"
gay cấn,"có nhiều khó khăn, trở ngại đến mức như không vượt qua được"
nái sề,"người phụ nữ sinh đẻ nhiều lần, thân thể không còn gọn gàng"
hải cẩu,"động vật sống ở biển Bắc Cực hoặc Nam Cực, có đầu giống chó"
tài,"khả năng đặc biệt, sự thành thạo trong một công việc nào đó"
giáo thụ,"viên chức trông coi việc học trong một phủ, thời phong kiến"
hát,"âm thanh theo giai điệu, nhịp điệu được sáng tác có bài bản"
kính viễn vọng,"dụng cụ quang học dùng quan sát các thiên thể, các vật ở xa"
triều cống,(từ cũ) hiến dâng lễ vật cho vua của nước mà mình thần phục
kinh lược,"chức quan thay vua trông coi việc binh, việc dân ở một vùng"
danh thiếp,"thiếp nhỏ in họ tên, nghề nghiệp, chức vụ dùng để giao dịch"
tàu bay,"cây thuộc họ cúc, lá có mùi thơm ăn được, quả có lông trắng"
ni-tơ-rát,(hoá học) muối của a-xít đạm (phiên âm từ tiếng Anhnitrate)
báo ứng,đáp lại điều lành hay dữ tương ứng với việc của mình đã làm
ngự sử,chức quan có nhiệm vụ can vua chớ làm những việc không đúng
thuốn,"đồ dùng kim loại, nhọn đầu, xiên vào lòng vật gì để thăm dò"
người yêu,người được tình yêu nồng nhiệt của người khác giới dành cho
tay,"chi trên của cơ thể người, từ vai đến ngón dùng để cầm, nắm"
lựu đạn,"vũ khí vỏ cứng, trong chứa thuốc nổ và kíp nổ, ném bằng tay"
hôn,"áp môi hoặc mũi vào má, tay người khác để biểu thị tình cảm"
động viên,"khuyến khích tinh thần làm cho phấn khởi, tích cực vươn lên"
sân,"khoảng đất trống, phẳng, là một phần phụ của nhà ở, dinh cơ"
lễ tân,"bộ phận phụ trách việc tiếp khách, trong quan hệ ngoại giao"
kèm cặp,"theo sát bên cạnh để dạy dỗ thêm trong nghề nghiệp, học tập"
ken,kẹp sát bằng vật cứng để ép chất lỏng bên trong về một phía
giám quốc,(từ cũ) người được giao trông coi việc nước khi vua đi vắng
tâm nhĩ,"phần buồng trên của quả tim, chứa máu từ các cơ quan về tim"
giám đốc,"người đứng đầu một cơ quan, xí nghiệp, công ti, một tổ chức"
tuần phủ,"chức quan đứng đầu một tỉnh nhỏ thời phong kiến, Pháp thuộc"
nghệ nhân,người chuyên vào nghệ thuật cổ truyền hoặc thủ công mĩ nghệ
nội tiếp,(toán học) một đường tròn tiếp xúc với mọi cạnh của đa giác
phiếm định,"(vật lý) thế cân bằng của một vật, vững ở bất kì tư thế nào"
cầu nguyện,"xin thần linh ban cho điều tốt lành, may mắn, theo tôn giáo"
chất khí,chất ở trạng thái có thể nén và lan ra chứa đầy vật chứa nó
phà,"phương tiện vận chuyển trên sông, bề ngang rộng, lòng phẳng"
phá,vùng nước mặn thông ra biển bởi một dòng nước hẹp chảy xiết
cứu,"chữa bệnh theo đông y, bằng cách đốt nóng các huyệt trên da"
phá án,toà án cấp trên yêu cầu toà án cấp dưới xét lại vụ án đã xử
nôi,"đồ dùng cho trẻ nhỏ nằm, có thể chao qua chao lại để ru ngủ"
trung vệ,"cầu thủ hàng hậu vệ, có nhiệm vụ vừa tấn công vừa phòng thủ"
cọc,"đoạn tre, gỗ có một đầu nhọn để cắm xuống đất hoặc vật khác"
dịch,chuyển nội dung diễn đạt từ ngôn ngữ này sang ngôn ngữ khác
khoán trắng,giao toàn bộ công việc cho người khác làm mà không theo dõi
nội chiến,"chiến tranh giữa các miền, các vùng trong một nước với nhau"
khuyên giáo,kêu gọi người theo đạo Phật quyên góp tiền của làm công đức
rau câu,"tảo đỏ mọc  ven biển, hình sợi chỉ, dùng làm nộm, nấu thạch"
rau răm,"cây thân cỏ mọc bò, lá có mùi thơm, vị cay, dùng làm gia vị"
trung học,"bậc học, gồm hai cấp trung học cơ sở và trung học phổ thông"
trợ từ,"từ thêm vào trong câu, biểu thị sự ngạc nhiên, nghi ngờ,..."
ki-lô-gam,đơn vị cơ bản đo khối lượng (phiên âm từ tiếng Anhkilogram)
trống,"nhạc cụ hình ống, hai đầu bịt da, đánh thành tiếng bằng dùi"
phó,người trực tiếp giúp việc và có thể thay mặt cho cấp trưởng
tức là,dẫn vào câu điều sắp nêu là giải thích cho điều vừa nói đến
mo,"lá bắc bẹ lớn, bọc ngoài cụm hoa các cây họ ráy, họ cau,..."
nền móng,cái dùng làm cơ sơ để xây dựng và phát triển những cái khác
nếp,"gạo nếp, nấu chín thì trong và dẻo, dùng thổi xôi, làm bánh"
câu đố,"câu văn có nghĩa lắc léo, úp mỡ dùng để đố nnhau tìm ý đúng"
la cà,đi hết chỗ này đến chỗ khác mà không có mục đích gì rõ ràng
chạm,"tạo thành những hình nghệ thuật bằng cách đục, khắc vật rắn"
tổng bãi công,đình chỉ làm việc đồng loạt để đòi những quyền lợi của mình
lược khảo,"nghiên cứu khái quát những cái chính, không đi vào chi tiết"
chĩnh,"đồ đựng bằng đất nung nhỏ hơn chum, cổ cao, đáy thót và dài"
phìa,"cường hào cai trị một mường ở vùng dân tộc Thái, thời trước"
phìa tạo,giai cấp nắm quyền thống trị ở vùng dân tộc Thái thời trước
phía,những người cùng một quan điểm nhất định gộp chung với nhau
rừng,vùng đất rộng có nhiều cây mọc tự nhiên hoặc do người trồng
làm dấu,"người theo đạo Công giáo, đưa tay lên trán, ngực và hai vai"
liêm khiết,"trong sạch, không lạm dụng quyền hành, không tham ô, hối lộ"
chơi chữ,"dùng các từ đồng âm, khác nghĩa,... trong ngôn ngữ, lời nói"
mõ,người chuyên đánh mõ rao việc làng thời trước (hàm ý khinh)
ngũ quan,năm bộ phận nhận kích thích từ bên ngoài gây thành cảm giác
tháp,công trình xây dựng có chiều cao lớn hơn so với chiều ngang
tổng đốc,"chức quan đứng đầu một tỉnh lớn thời phong kiến, Pháp thuộc"
lục sự,"người lo việc giấy tờ, sổ sách ở toà án, thời thực dân Pháp"
tiếng tăm,"lời nhận định, đánh giá là tốt hay xấu được lan truyền rộng"
tiền vệ,"cầu thủ hoạt động sau tiền đạo, vừa tiến công vừa phòng thủ"
hộ tịch,"sổ ghi chép tên tuổi, quê quán từng cư dân trong địa phương"
láng,làm cho nhẵn bóng bằng cách phủ lên bề mặt một lớp vật liệu
trả miếng,"đáp lại lời nói, hành động xúc phạm mình một cách đích đáng"
phễu,"đồ có miệng loe, để rót chất lỏng vào vật chứa có miệng nhỏ"
ruột tượng,bao vải đeo ngang lưng hoặc quanh bụng để đựng tiền hay gạo
thánh hiền,"người được coi là bậc có tài đức, trí tuệ hơn hẳn người đời"
nước hoa,"nước chế từ tinh dầu của hoa hoặc chất hoá học, có mùi thơm"
đào,"cây cùng họ với lê, mận, quả hình tim có lông mượt, ăn được"
ngọc thạch,"đá quý màu xanh nhạt, nửa trong suốt, dùng làm đồ trang sức"
tin,cho biết về thế giới xung quanh và những gì xảy ra trong nó
luân hồi,"người chết đi hoá sang kiếp khác, theo thuyết của Phật giáo"
óc đậu,"thức ăn làm bằng đậu nành, không đóng thành bìa như đậu phụ"
vô tình,"Không có tình nghĩa, tình cảm giữa người và người với nhau."
tiểu tư sản,tầng lớp những người sản xuất nhỏ có tư liệu sản xuất riêng
tổng động binh,kêu gọi toàn bộ lực lượng dự bị sẵn sàng tham gia chiến đấu
quai,"bộ phận hình cong của vật, để cầm, xách hay mang vào người."
quan chế,"quy định tổ chức và quyền hạn của quan lại, thời phong kiến"
khí trơ,khí không hoá hợp được với chất khác trong điều kiện thường
thi đình,khoa thi thời phong kiến cho những người đã đỗ khoa thi hội
thi hội,(từ cũ) khoa thi mở ở kinh đô cho những người đã đổ cử nhân
mùi,kí hiệu thứ tám trong mười hai chi (lấy dê làm tượng trưng)
mức,"cây nhỡ, quả dài, gỗ trắng nhẹ, dùng làm guốc, khắc con dấu"
bất,đánh bất mà tổng số ghi trên các con bài rút ra quá số mười
thủ pháo,"lượng thuốc nổ ném bằng tay, chủ yếu để gây thương vong nhỏ"
thất tiết,"không dành trọn trinh tiết cho chồng, quan niệm phong kiến"
bói cá,"Chim mỏ dài, lông xanh biếc, hay nhào xuống nước để bắt cá"
quở quang,lời khen khiến người ta cho rằng báo trước điều chẳng lành
quận trưởng,người đứng đầu một quận của chính quyền Sài Gòn trước 1975
que đan,"que bằng tre, nhựa hay sắt có một đầu nhọn để đan len, sợi"
tết,"đan, thắt nhiều mớ sợi với nhau thành dây dài hoặc hình gì"
già lão,"cao tuổi, sức lực không còn được bao nhiêu (nói khái quát)"
dựng,vẽ một hình phẳng nào đó thoả mãn theo điều kiện cho trước
khăn vuông,"khăn đội đầu của phụ nữ, hình vuông gấp chéo, thắt sau gáy"
miễn dịch,tính chất đề kháng tự nhiên của cơ thể với một bệnh nào đó
thuyền mành,"thuyền lớn chạy ven biển, có tấm buồm lớn tựa một bức mành"
mảnh,"những vật hình tấm, kích thước nhỏ hơn những vật cùng loại"
ngực,"phần thân từ cổ tới bụng chứa tim, phổi ứng với xương sườn"
kim thanh,"đoạn dây đồng hình xoắn, gắn vào đáy đàn nguyệt, tì bà,..."
bàn bạc,trao đổi ý kiến về một việc chung nhằm đi tới một mục đích
lệnh tiễn,mũi tên làm tin của tướng trao cho người được mình phái đi
thu hoạch,đem về những sản phẩm của đất trồng do sức lao động làm ra
tiêu chí,"tính chất, dấu hiệu để phân biệt một sự vật, một khái niệm"
thối,1 chất hữu cơ có mùi do quá trình huỷ hoại của vi sinh vật
cạo giấy,làm việc bàn giấy trong công sở (ý mỉa mai hoặc khiêm tốn)
thiên đường,thế giới tưởng tượng của những linh hồn không phạm tội lỗi
kén,"tổ bằng tơ của một số loài sâu, bướm để ẩn lúc thành nhộng"
thực dụng,chỉ nhằm vào những gì mang lại lợi ích cho cuộc sống riêng
tín ngưỡng,lòng tin vào sức mạnh thiêng liêng của một tôn giáo nào đó
muối mặt,coi thường nhân phẩm của mình mà làm một việc đáng hổ thẹn
tuần hoàn,sự chuyển vận máu từ tim đi khắp cơ thể rồi lại trở về tim
rấm,ủ nóng hoặc đưa vào chỗ kín cho mau chín hay chóng mọc mầm
mễ,"đồ dùng để kê đỡ, có chân ở hai đầu, trông tựa cái ghế dài"
trào phúng,"gây cười để châm biếm, đả kích những thói xấu trong xã hội"
tư liệu,những vật chất con người sử dụng trong một lĩnh vực nào đó
túi,"Bộ phận của áo hay quần, dùng đựng vật nhỏ đem theo người."
bồ hóng,"bụi đen do khói đóng lại thành mảng bám vào tường, nóc bếp"
mãnh hổ,"hổ dữ; ví người có hành động dũng cảm, sức khoẻ phi thường"
khăn quàng,"khăn dệt bằng sợi to, quấn cổ hoặc choàng đầu để khỏi lạnh"
tay co,thanh gỗ đóng ngang miệng thùng để buộc dây thừng vào gánh
nia,"đồ đan bằng tre, hình tròn bẹt, có cạp, dùng để phơi, đựng"
tiểu đồng,"đứa con trai nhỏ theo hầu người quyền quý, thời phong kiến"
dũng sĩ,danh hiệu vinh dự cho người lập nhiều thành tích chiến đấu
bị,"chịu sự tác động của việc không hay, không có lợi với mình"
tôn,"sắt hoặc thép dát thành tấm mỏng, có tráng mạ kẽm ở bề mặt"
lõm bõm,tiếng lội nước hoặc tiếng vật nhỏ rơi không đều xuống nước
hương nhu,"cây cùng họ bạc hà, lá có lông, dùng làm thuốc hay gội đầu"
dép,"đồ mang ở bàn chân, bằng da hoặc cao-su, không có quai hậu"
sâu răng,"bệnh làm huỷ các phần trong men răng, và làm thủng tới tuỷ"
phúc,"điều mang lại những sự tốt lành về mặt tinh thần, tình cảm"
ma-két,mô hình của vật sẽ chế tạo (phiên âm từ tiếng Anhmaquette)
di,"dùng bàn tay, bàn chân hay các đầu ngón tay chà đi chà lại"
liên chi,(từ cũ) những người có quan hệ họ hàng thuộc cùng dòng máu
họ,tổ chức vay lẫn nhau để tạo điều kiện giải quyết công việc
hò,đường mép trên thân áo dài từ giữa cổ đến nách áo bên phải
nghể,"loại cây nhỏ, thân có đốt rỗng, lá có bẹ ôm thân, mùi hăng"
phát quang,(vật lý) phát ra ánh sáng mà không cần được cung cấp nhiệt
phước,"những phụ nữ tu trong đạo Công giáo, chuyên làm việc thiện"
cổ điển,"tác giả, tác phẩm văn học, được coi là mẫu mực của thời cổ"
bìa,"tờ giấy dày hoặc giấy bồi, đóng ngoài quyển sách, quyển vở"
tốc độ,đại lượng đo bằng khoảng đường đi được trong một thời gian
tộc biểu,"người thay mặt cho một họ trong hương hội, thời Pháp thuộc"
quá độ,quá trình chuyển tiếp từ giai đoạn này sang giai đoạn khác
tú tài,"học vị của người tốt nghiệp bậc trung học, thời Pháp thuộc"
giấm ghém,làm cỗ đơn giản bằng thịt lợn luộc ăn với giấm và rau ghém
lều,"khung tre căng chiếu đặt trên cái chõng thí sinh, ngày xưa"
bán kết,vòng đấu để chọn vận động viên hoặc đội vào trận chung kết
ma-dút,dầu nhớt do chưng cất dầu thô mà có (từ tiếng Pháp mazout)
dại,"bệnh gây tổn thương thần kinh của chó và mèo, gây nên chết"
phong vũ biểu,dụng cụ đo áp suất của khí quyển và dự đoán được thời tiết
quản gia,người giúp chủ trông coi việc nhà cho một gia đình quý tộc
Tiên sư,(từ cũ) người lập ra một trường phái hoặc dạy lại một nghề
cho biết,một số hay một lượng đã cho trong đầu bài (trong toán học)
tốt đen,"(từ cũ) người không có địa vị, thường bị kẻ khác sai khiến"
luận án,công trình nghiên cứu để được công nhận một học vị bậc cao
thay,"đảm nhiệm chức năng trước đây là của người khác, việc khác"
phù phép,"thuật sai khiến quỷ thần làm những điều kì lạ, theo mê tín"
kính thiên văn,"dụng cụ quang học dùng để quan sát, chụp ảnh các thiên thể"
ganh tị,so tính thiệt hơn và thấy khó chịu khi người khác hơn mình
hành quân,di chuyển đội hình đến một địa điểm với mục đích nhất định
kiểm sát,theo dõi và thực thi việc chấp hành luật pháp của nhà nước
tỉa,sửa lại từng chi tiết chưa đạt của một tác phẩm nghệ thuật
kiến trúc,xây dựng các công trình theo kiểu mẫu mang tính nghệ thuật
tài năng,khả năng tự nhiên hoặc do qua thời gian tập luyện mà thành
kinh viện,"khuynh hướng triết học dựa trên trừu tượng, xa rời thực tế"
chủ tịch,người đứng đầu nhà nước trong một số nước cộng hoà dân chủ
rượu lễ,"rượu nho nguyên chất, dùng trong các buổi lễ của Công giáo"
sự cố,hiện tượng bất ngờ xảy ra trong quá trình hoạt động nào đó
bài học,bài học sinh cần nhớ và biết áp dụng sau khi thầy đã giảng
cáng,"võng mắc vào đòn, có mui che, khi xưa dùng để khiêng người"
sách dẫn,"bảng ghi thứ tự chữ cái, tên các tác giả, những đoạn trích"
thiếu sinh quân,thiếu niên học ở trường quân sự để đào tạo thành quân nhân
khèn,nhạc cụ bằng tre trúc ghép lại của một số dân tộc miền núi
sơ kết,nhìn lại phần việc đã làm để rút ra những kết luận ban đầu
giấu,"cất vào nơi kín đáo để người khác không thấy, không tìm ra"
phụ,góc hay cung cộng với góc hay một cung khác thì thành 90độ
băng,"miếng vải đen quấn quanh mũ, cánh tay áo của người để tang"
lương,"hàng dệt mỏng, bằng tơ dùng may áo dài đàn ông, thời trước"
ngả,để cho men hoặc mốc ngấm vào biến thành chất có vị ăn được
sa mạc,"vùng đất cát rộng lớn có khí hậu rất khô, không có cây cối"
chào,tỏ lời nói hay cử chỉ kính trọng khi gặp nhau hoặc từ biệt
cấy,nuôi vi sinh vật trong môi trường dinh dưỡng để nghiên cứu
bạt,bài đặt cuối cuốn sách để nói thêm về ý nghĩa của nội dung
nuối,"người sắp chết ráng sức chờ người thân, chưa nhắm mắt được"
nuông chiều,"chiều theo một cách quá đáng cả những điều vô lí, sai trái"
thái ất,"căn cứ vào các việc xảy ra mà đoán tương lai, phép bói xưa"
hà,"động vật thân mềm, hình cuống dài, đục thủng gỗ trong nước"
giấu tiếng,không cho người ta biết vai trò của mình trong một việc gì
giáo vụ,"bộ phận phụ trách việc giảng dạy, học tập trong một trường"
nho sĩ,người thuộc tầng lớp trí thức trong xã hội thời phong kiến
móng,"lớp vật liệu dưới cùng, để đỡ sức nặng công trình xây dựng"
nghị gật,(từ cũ) đại biểu dân cử bầu ra để làm tay sai cho thực dân
cù,"gí nhẹ đầu ngón tay vào cổ, nách hay cạnh sườn để gây cười"
thục địa,"vị thuốc đông y, chế biến từ củ của cây địa hoàng, màu đen"
cơ,"bộ phận của cơ thể, co dãn để làm các cơ quan khác cử động"
cựa,mấu sừng mọc ở phía sau cẳng gà trống hay một số loài chim
phòng thủ,giữ vững vị trí để đối phó với sức tấn công của đối phương
thuyền trưởng,người chỉ huy cao nhất của một thuyền lớn hay một tàu thuỷ
trâu ngựa,"thân phận vất vả, đoạ đày của người làm tôi đòi thời trước"
thái thú,"chức quan cai quản một quận, thời nhà Hán Trung Quốc đô hộ"
sải,"đồ đan bằng tre nứa, trát sơn mặt ngoài, để đựng chất lỏng"
sung huyết,(y học) chứng ứ máu bất thường ở bộ phận nào đó của cơ thể
lã chã,"(nước mắt, mồ hôi) rơi, chảy thành giọt nhiều và không dứt"
ném đĩa,"môn điền kinh, tập ném một vật hình tròn, dẹt, có vành sắt"
bỏ phiếu,sự lựa chọn của mình để bầu ra người mình cho là xứng đáng
xuất thân,"Sinh ra, lớn lên trong một gia đình, một hoàn cảnh nào đó."
nhện,"động vật chân đốt, có tám chân, thường chăng tơ để bắt mồi"
ngái,"cây cùng họ với sung, lá có lông cứng, dùng để ủ mốc tương"
kênh,đường thông tin liên lạc chiếm một khoảng tần số nhất định
đề,"lối chơi cờ bạc, ai đoán trúng thì được, đoán sai thì thua"
ngựa,"dụng cụ thể dục, hơi giống hình con ngựa, dùng để tập nhảy"
phèn,(hoá học) tên chung các loại muối kép gồm hai muối sun-fát
ngợp,có cảm giác nhỏ bé trước cái quá rộng lớn trong không gian
đèn xếp,"đèn giấy xếp thành hình tròn hoặc hình trụ, trong thắp nến"
bơi ngửa,"bơi trong tư thế thân nằm trên mặt nước, mặt ngửa lên trên"
lục bát,thể văn vần mỗi cặp gồm một câu sáu chữ và một câu tám chữ
lang ben,"bệnh ngoài da do một loại nấm gây ra, không đau không ngứa"
làng,"khối dân cư có đời sống riêng nhất định, trước kia là thôn"
sơn dầu,"hỗn hợp nhão, chế từ màu bột và dầu ép, dùng trong hội hoạ"
sơn pháo,"pháo hạng nhẹ, tiện di chuyển, sử dụng ở địa hình rừng núi"
su hào,"cây cùng họ với cải, thân phình thành củ tròn, làm thức ăn"
dưỡng,"tấm mẫu mỏng, ướm khít với sản phẩm để kiểm tra kích thước"
thiển cận,"nông cạn, chỉ thấy cái trước mắt, không nhìn xa trông rộng"
tè he,"ngồi bệt xuống, hai chân duỗi thẳng và dạng ra (hàm ý chê)"
giả vờ,làm ra vẻ như thật để làm cho người ta tưởng thật như thế
yếu tố,"Một trong những bộ phận cấu thành một sự vật, hiện tượng."
sa ngã,"thoái hoá đạo đức, nhân phẩm trước sự cám dỗ của vật chất"
niên hiệu,tên hiệu do vua đặt ra để tính năm trong thời gian trị vì
a dua,"hùa theo, bắt chước người khác một cách dại dột, mù quáng"
muồng,"cây thuộc họ đậu, được trồng làm phân xanh, hạt làm thuốc"
mướp,"cây thân leo, quả dài, non dùng làm thức ăn, già thành xơ"
biểu,"dán tranh lên giấy mỏng, để tranh thẳng và hình vẽ nổi rõ"
thấm,hút một chất lỏng bằng một vật xốp hoặc qua một màng mỏng
ghe hầu,"thuyền của quan lại, địa chủ ngày xưa, được trang trí đẹp"
nụ áo,"cây cùng họ cà, mọc hoang, quả khi chín có hình như nụ áo"
tổng hợp,(hoá học) điều chế hợp chất phức tạp từ các chất đơn giản
lách cách,"tiếng đanh gọn, không đều của vật cứng, nhỏ chạm vào nhau"
chư hầu,"chúa phong kiến bị phụ thuộc, phải phục tùng một hoàng đế"
hoè,"cây thuộc họ đậu, hoa nhỏ màu vàng, nụ hoa dùng làm thuốc"
trăn,"rắn lớn, không có nọc độc, bắt và ăn cả những con mồi lớn"
vỉa,Lớp khoáng sản dài và hẹp nằm giữa nhiều lớp khoáng khác.
mua chuộc,"dùng tiền tài, danh vọng dụ dỗ người khác làm theo ý mình"
quy chế,"những điều định ra để mọi người, mọi ngành theo đó mà làm"
quốc vụ khanh,bộ trưởng ngoại giao hay bộ trưởng không bộ ở một số nước
quan liêu,"nghiêng về mệnh lệnh, giấy tờ, xa rời thực tế, quần chúng"
hương liệu,"chất thơm dùng làm nguyên liệu chế tạo mỹ phẩm, dược phẩm"
nguyên tắc,"điều cơ bản định ra, làm cơ sơ cho các mối quan hệ xã hội"
tạ,"dụng cụ thể thao, gồm hai khối kim loại lắp ở hai đầu đòn"
vệ sinh,"Những quy tắc phòng bệnh, giữ gìn và tăng cường sức khoẻ."
khuôn phép,"những phép tắc cần giữ gìn trong quan hệ xã hội, gia đình"
khúc côn cầu,"môn thể thao đánh bằng gậy đưa bóng vào lưới, như bóng đá"
tham tri,(từ cũ) chức quan dưới chức thượng thư của triều đình Huế
hô hấp,"hít o-xi vào phổi, thở khí các-bô-níc ra nhằm tạo sự sống"
vuông,Từ ghép sau danh từ để tạo thành tên đơn vị đo diện tích.
trát,phủ kín hoặc phẳng rồi xoa một lớp dính và mịn lên bề mặt
tôi luyện,"tạo cho tinh thần, ý chí trở nên kiên định, vững vàng hơn"
rau xà-lách,"rau cùng họ rau diếp, lá quăn hơn (tên tiếng Pháp salade)"
nhà mổ,"nhà ở bệnh viện, có bàn mổ để bác sỹ tiến hành phẫu thuật"
giấy bổi,"giấy làm bằng nguyên liệu thừa, dùng để lót hàng, bao gói"
cửa,"khoảng trống làm thành lối ra vào, có lắp bộ phận đóng mở"
vũ nữ,"Người phụ nữ làm nghề khiêu vũ trong vũ trường, sàn nhảy."
lưỡng thê,"động vật có xương sống, có thể sống dưới nước và trên cạn"
nghĩa quân,lực lượng vũ trang được tổ chức đứng lên đánh kẻ xâm lăng
hoành độ,số để xác định vị trí của một điểm trong mặt phẳng toạ độ
kì,khoảng thời gian nhất định tương đối đều đặn của một việc
thính,"bột làm bằng gạo hoặc ngô rang vàng, giã nhỏ, có mùi thơm"
không chê được,"rất tốt, hoàn hảo đến mức không thấy được khuyết điểm nào"
gieo,ném đồng tiền hoặc con xúc xắc để tính điểm hoặc đoán quẻ
ké,"tên gọi loài cây nhỏ, quả có gai, dùng làm thuốc lợi tiểu"
tỉnh ngộ,"đột nhiên hiểu ra và nhận thấy cái đúng, cái sai của mình"
kháng nguyên,chất có khả năng kích thích cơ thể tạo ra những kháng thể
phông,"khung cảnh cuối sân khấu, làm nền cho diễn viên biểu diễn"
phổi,cơ quan hô hấp hình túi ở người và động vật có xương sống
nhiệt độ,(vật lý) đại lượng đặc trưng cho độ nóng lạnh của một vật
ngôn ngữ,"cách thức, trình độ sử dụng ngôn ngữ mang tính chất riêng"
loa,(vật lý) dụng cụ biến các dao động điện thành dao động âm
lổm ngổm,"bò theo những hướng khác nhau, không có trật tự, hàng lối"
trả thù,gây tai hoạ cho người đã gây hại cho mình hoặc người thân
kinh nghiệm,"những điều hiểu biết có được do tiếp xúc, từng trải nhiều"
tam giác,(toán học) hình tạo nên bởi một đường gấp khúc có ba cạnh
tham mưu,giúp người chỉ huy tổ chức thực hiện các kế hoạch quân sự
kiện,nhờ cơ quan luật pháp xét xử người làm thiệt hại đến mình
trực hệ,"quan hệ họ hàng, người này sinh ra người kia kế tiếp nhau"
hoàng liên,"cây mọc ngầm dưới đất, thân rễ có vị đắng, dùng làm thuốc"
mì chính,"muối của một a-xít a-min, cho vào thức ăn để tăng vị ngọt"
mộng,gờ lắp khớp vào rãnh hay ổ của một bộ phận tương ứng khác
ngày,khoảng thời gian từ khi mặt trời mọc đến lúc mặt trời lặn
măng tây,"cây thuộc họ hành tỏi, thân ngầm, mầm non mềm ăn như măng"
ám chỉ,không nói thẳng mà nói bóng gió đến người nào hay việc gì
tiên đề,(toán học) mệnh đề được công nhận mà không cần chứng minh
tiêm,"đồ dùng hình dùi, nhọn một đầu để cho thuốc phiện vào tẩu"
ướp lạnh,Cho vào môi trường có nhiệt độ thấp để giữ cho khỏi hỏng.
cối,"lượng hạt rời đựng trong cối cho một lần xay, giã, nghiền"
tựa,"bài viết ở đầu sách, trình bày và giới thiệu cuốn sách đó"
tứ tuyệt,"thể thơ có bốn câu ba vần, mỗi câu từ năm đến bảy âm tiết"
tẩu mã,điệu hát trong tuồng khi diễn viên làm động tác cưỡi ngựa
